WO-030	docs/verification/WO-030-OPERATIONAL-VERIFICATION.md	10147	957439f01175
WO-030	docs/work-orders/WO-030-Pods-Founder-Review-Specification.md	43526	78eee360b293
WO-030	docs/work-orders/WO-030-Pods.md	19615	da5521f8cd0c
DOMAIN-002	docs/work-orders/DOMAIN-002-Voice-Backend.md	13349	1e659eb9b3ea
DOMAIN-002	docs/work-orders/DOMAIN-002-Voice-Frontend-Manual-Validation-Plan.md	7317	5e91faaf3fe4
DOMAIN-002	docs/work-orders/DOMAIN-002-Voice-Frontend.md	13171	97f24430acb8
WO-029	docs/verification/WO-029-OPERATIONAL-VERIFICATION.md	8573	7b7e7ba09b95
WO-029	docs/work-orders/WO-029-AI-Intelligence-Engine.md	15307	f344023165cc
WO-028	docs/verification/WO-028-OPERATIONAL-VERIFICATION.md	9482	5406ceca373e
WO-028	docs/work-orders/WO-028-Academy-Foundation.md	16565	3324da283ab4
WO-027	docs/verification/WO-027-OPERATIONAL-VERIFICATION.md	8459	445896b907ad
WO-027	docs/work-orders/WO-027-Knowledge-System.md	11299	109020e91674
WO-026	docs/verification/WO-026-OPERATIONAL-VERIFICATION.md	10263	caa881af3ec4
WO-026	docs/work-orders/WO-026-Communication-System.md	18299	53af08b668a8
WO-025	docs/verification/WO-025-OPERATIONAL-VERIFICATION.md	10236	7445068be5bb
WO-025	docs/work-orders/WO-025-Stewardship-System.md	16887	c169300aff49
WO-024	docs/verification/WO-024-OPERATIONAL-VERIFICATION.md	6407	8b61f6f5ed13
WO-024	docs/work-orders/WO-024-Business-Portal.md	9447	270d8001f038
WO-023	docs/verification/WO-023-OPERATIONAL-VERIFICATION.md	6626	cdfc65fcec1f
WO-023	docs/work-orders/WO-023-Email-Delivery-Integration.md	8791	7b7b9e185656
WO-022	docs/verification/WO-022-OPERATIONAL-VERIFICATION.md	5662	d532b8ec8bbb
WO-022	docs/work-orders/WO-022-Authorization-Retrofit.md	10488	e8a609d0625d
WO-021	docs/verification/WO-021-OPERATIONAL-VERIFICATION.md	4912	8a887b5a1382
WO-021	docs/work-orders/WO-021-Administration-Role-Management.md	7234	64c939c325ad
WO-020	docs/verification/WO-020-OPERATIONAL-VERIFICATION.md	7169	7fe4369ce6b1
WO-020	docs/work-orders/WO-020-Resource-Directory.md	10006	120e602d4b3b
WO-019	docs/verification/WO-019-OPERATIONAL-VERIFICATION.md	5403	9c348fae58ac
WO-019	docs/work-orders/WO-019-Authentication-Identity-Access-Management.md	8766	3f68ae06f5df
SC-001	docs/canon/steward/foundation/SC-001-steward-constitution.md	4146	995bba1327d1
SC-001	docs/steward/foundation/SC-001-Steward-Constitution.md	5442	e04c135beae1
PR-002	docs/work-orders/PR-002-Deferred-Surfaces-Justification.md	4518	abf9427c505c
PR-002	docs/work-orders/PR-002-Production-Foundation-Remediation.md	9368	b030fe86062a
OC-001	docs/canon/experience/OC-001-opening-ceremony-canon.md	4525	31a24dbe66d5
